100	 18.7076
99	 15.4213
98	 12.1298
97	 8.849
96	 5.59436
95	 2.38103
94	 -0.776341
93	 -3.86366
92	 -6.86742
91	 -9.7748
90	 -12.5737
89	 -15.2528
88	 -17.8015
87	 -20.2102
86	 -22.4701
85	 -24.5734
84	 -26.5132
83	 -28.2835
82	 -29.8794
81	 -31.297
80	 -32.5332
79	 -33.5861
78	 -34.4547
77	 -35.1391
76	 -35.6401
75	 -35.9597
74	 -36.1006
73	 -36.0665
72	 -35.8619
71	 -35.4922
70	 -34.9634
69	 -34.2823
68	 -33.4564
67	 -32.4937
66	 -31.4029
65	 -30.193
64	 -28.8736
63	 -27.4546
62	 -25.9464
61	 -24.3593
60	 -22.7041
59	 -20.9915
58	 -19.2325
57	 -17.4379
56	 -15.6186
55	 -13.7851
54	 -11.9481
53	 -10.1176
52	 -8.30385
51	 -6.5163
50	 -4.7642
49	 -3.05633
48	 -1.40098
47	 0.194092
46	 1.72169
45	 3.1752
44	 4.54866
43	 5.83673
42	 7.03475
41	 8.13875
40	 9.14545
39	 10.0523
38	 10.8574
37	 11.5595
36	 12.1583
35	 12.654
34	 13.0474
33	 13.3402
32	 13.5345
31	 13.6331
30	 13.6395
29	 13.5575
28	 13.3917
27	 13.1469
26	 12.8287
25	 12.4426
24	 11.9949
23	 11.4919
22	 10.9404
21	 10.3472
20	 9.71938
19	 9.06403
18	 8.38835
17	 7.69955
16	 7.00476
15	 6.31103
14	 5.62526
13	 4.95414
12	 4.30414
11	 3.68142
10	 3.09185
9	 2.54089
8	 2.03363
7	 1.57469
6	 1.16826
5	 0.817987
4	 0.527035
3	 0.298004
2	 0.132939
1	 0.0333086
